training iterations,perplexity,perplexity POS,type
500,920.0634765625,1.4336934089660645,one_max_post
1000,378.7261047363281,1.3664989471435547,one_max_post
1500,251.34730529785156,1.3338005542755127,one_max_post
2000,206.2198944091797,1.2986712455749512,one_max_post
2500,173.26939392089844,1.290115237236023,one_max_post
3000,155.88780212402344,1.263485312461853,one_max_post
3500,151.53521728515625,1.2696679830551147,one_max_post
4000,144.16282653808594,1.253371238708496,one_max_post
4500,130.3513946533203,1.244199275970459,one_max_post
5000,133.13221740722656,1.234171986579895,one_max_post
5500,128.72596740722656,1.2500571012496948,one_max_post
6000,128.76243591308594,1.2734383344650269,one_max_post
6500,121.13813781738281,1.2346010208129883,one_max_post
7000,123.99633026123047,1.2468209266662598,one_max_post
7500,118.15713500976562,1.271350622177124,one_max_post
8000,109.86719512939453,1.258503794670105,one_max_post
8500,110.39923095703125,1.2469425201416016,one_max_post
9000,107.73346710205078,1.2135616540908813,one_max_post
9500,112.53038024902344,1.230620265007019,one_max_post
10000,107.75804138183594,1.2465468645095825,one_max_post
10500,105.60865020751953,1.2395025491714478,one_max_post
11000,104.0711669921875,1.2579636573791504,one_max_post
